Punkt_ID;Datum;Färgtal_1;Färgtal_2;Färgtal_3;Färgtal_4;Färgtal_5;Färgtal_6;Färgtal_7;pH;Siktdjup;
P02;2025-10-16;156;;;;;;;6.66;1.6;
P03;2025-10-16;1572;;;;;;;;;stillastående
P04;2025-10-16;;818;1988;1752;750;;;4.22;;
P05;2025-10-16;371;;;;;;;;;
P06;2025-10-16;110;;;;;;;;1.7;
P07;2025-10-16;128;;;;;;;;;
P08;2025-10-16;113;;;;;;;6.1;;
P09;2025-10-16;698;;;;;;;;;
P10;2025-10-16;201;;;;;;;;;
P11;2025-10-16;172;;;;;;;;;
P12;2025-10-16;173;;;;;;;6.17;;
P13;2025-10-16;399;163;;;;;;;;
P14;2025-10-16;157;174;163;;;;;6.45;;
P15;2025-10-16;151;168;167;170;;;;;;
P16;2025-10-16;495;459;746;;;;;5.95;;
P17;2025-10-16;201;194;;;;;;;;
P18;2025-10-16;169;114;126;;;;;6.5;;
P19;2025-10-16;171;163;174;;;;;6.7;1,4;mulet
P20;2025-10-16;267;276;466;449;824;584;;;;
P21;2025-10-16;323;362;410;402;;;;;;
P22;2025-10-16;310;208;218;301;;;;;;
P23;2025-10-16;240;326;271;397;;;;;;
P24;2025-10-16;344;368;349;361;;;;;;
P25;2025-10-16;762;778;;;;;;;;
P26;2025-10-16;500;356;356;224;;;;;;
P27;2025-10-16;500;386;430;;;;;;;
P28;2025-10-16;500;390;423;329;349;;;;;
P29;2025-10-16;475;476;500;438;466;;;;;
P30;2025-10-16;500;690;710;660;688;;;;;
P31;2025-10-16;455;465;395;405;;;;;;
P32;2025-10-16;225;211;280;345;;;;;;
P33;2025-10-16;500;478;488;496;;;;;;
P34;2025-10-16;136;206;140;419;483;212;331;6.52;;olika värden
P35;2025-10-16;109;174;183;160;168;375;187;;;
P36;2025-10-16;390;442;;;;;;;;
P37;2025-10-16;152;159;226;228;229;;;;;
P38;2025-10-16;319;359;322;336;;;;;;
P39;2025-10-16;316;303;287;295;;;;;;
P40;2025-10-16;192;199;203;211;;;;;;
P41;2025-10-16;139;152;75;172;96;100;;7.04;;
P42;2025-10-16;177;220;140;140;181;;;;;
P43;2025-10-16;311;320;476;467;;;;;;
P44;2025-10-16;351;380;317;443;;;;;;
P45;2025-10-16;196;;;;;;;;;
P46;2025-10-16;347;474;140;446;161;200;137;;;
P47;2025-10-16;207;;;;;;;;;
P48;2025-10-16;476;500;325;;;;;;;
P49;2025-10-16;475;500;467;469;;;;;;
P50;2025-10-16;744;798;660;716;;;;;;
P51;2025-10-16;622;740;562;598;;;;;;
P52;2025-10-16;409;429;;;;;;;;
P53;2025-10-16;415;466;386;422;;;;;;
