Punkt_ID;Platsnamn;N;E;
P02;Södra Kalvsjön;6338643;381266;
P03;vik Kalvsmossen;6338822;380995;
P04;Hundvik mitt;6339380;381971;
P05;Hundvik norr;6339416;381956;
P06;Utanför Hundvik;6339428;381703;
P07;Norrgärdet 2m ut;6340611;382788;
P08;Utlopp Götshults kanal;6340634;383095;
P09;Vännev. Öst 10m in;6340701;383220;
P10;Vännev. Norr 1 m ut;6340882;383221;
P11;Utlopp Åstabo;6342182;383454;
P12;Åstabovik;6342172;383465;
P13;Bökenäsbäck 2 m ut;6341748;383357;
P14;Utanför Bökenäs;6341884;383227;
P15;Lommaholmsv. 2m ut;6343731;384021;
P16;Utlopp Fursjön;6344225;384125;
P17;Inlopp S. arm;6345462;383832;
P18;Inlopp N. arm;6345574;383878;
P19;Norra Kalvsjön;6345689;383401;
P20;Lerviksb. 25 m upp;6344607;382662;
P21;Bäcks bäck 10 m in;6341022;381837;
P22;Kyrkbäcken 10 m in;6340765;381678;
P23;Stångån, ovan Spångån;6348619;386501;
P24;Kättarpsån bron;6345826;384492;
P25;Slättäng dike;6345892;384476;
P26;Hundvik söder 25 m upp;6339189;381839;
P27;Hundviksb. Under väg;6339290;382086;
P28;Dräggb. Bökenäs;6342076;384120;
P29;Fursjön;6344342;384400;
P30;Hörnebäck;6344053;384673;
P31;Åstaboäng ;6342396;384212;
P32;Rudsb. Under väg;6344425;384968;
P33;Ruds dunge;6344912;385040;
P34;Norra kanalen;6342967;386589;
P35;Nättsjöb.;6339188;383732;
P36;Ovan Götshults kanal;6340133;383373;
P37;Baggagropen;6336613;379418;
P38;söder Kroksjön;6336809;379404;
P39;Bälshult u vägen;6336735;379309;
P40;Brobäcken;6337854;379762;
P41;KROKSJÖN;6337997;379949;
P42;Gustafssonsb.;6338051;380018;
P43;Slättäng Pjuksbo;6339103;380865;osäker?
P44;Pjuksbob.;6339140;380710;
P45;Ävjekanal;6338454;380908;
P46;Ävjebro;6338020;380742;
P47;Gärdesmossen norr;6337989;380742;
P48;Torasjön;6338248;380740;
P49;Röasjön utlopp;6342992;381991;
P50;Holmamossen norr arm;6343482;381718;
P51;Holmamossen östra arm;6343476;381732;
P52;Röasjön inlopp;6343614;381337;
P53;Rösarpb.;6343578;381202;
